 0e0 # 1.085854e-08          # dimensionless surface pressure
      1001             # radial resolution
# r  rho
2.916198100001043e+10  4.187184961589058e+00
2.923158000001045e+10  4.143490846906848e+00
2.930117900001048e+10  4.100223184035814e+00
2.937077800001051e+10  4.057378171032366e+00
2.944037700001053e+10  4.014952033527383e+00
2.950997600001056e+10  3.972941024656778e+00
2.957957500001058e+10  3.931341424989094e+00
2.964917400001061e+10  3.890149542450195e+00
2.971877300001063e+10  3.849361712245162e+00
2.978837200001066e+10  3.808974296777447e+00
2.985797100001069e+10  3.768983685565405e+00
2.992757000001071e+10  3.729386295156249e+00
2.999716900001074e+10  3.690178569037517e+00
3.006676800001077e+10  3.651356977546151e+00
3.013636700001079e+10  3.612918017775230e+00
3.020596600001082e+10  3.574858213478453e+00
3.027556500001084e+10  3.537174114972437e+00
3.034516400001087e+10  3.499862299036908e+00
3.041476300001090e+10  3.462919368812851e+00
3.048436200001092e+10  3.426341953698691e+00
3.055396100001094e+10  3.390126709244564e+00
3.062356000001097e+10  3.354270317044760e+00
3.069315900001100e+10  3.318769484628396e+00
3.076275800001102e+10  3.283620945348375e+00
3.083235700001105e+10  3.248821458268710e+00
3.090195600001108e+10  3.214367808050255e+00
3.097155500001110e+10  3.180256804834932e+00
3.104115400001113e+10  3.146485284128475e+00
3.111075300001115e+10  3.113050106681785e+00
3.118035200001118e+10  3.079948158370931e+00
3.124995100001120e+10  3.047176350075864e+00
3.131955000001123e+10  3.014731617557886e+00
3.138914900001126e+10  2.982610921335947e+00
3.145874800001129e+10  2.950811246561795e+00
3.152834700001131e+10  2.919329602894064e+00
3.159794600001134e+10  2.888163024371321e+00
3.166754500001136e+10  2.857308569284138e+00
3.173714400001139e+10  2.826763320046219e+00
3.180674300001141e+10  2.796524383064666e+00
3.187634200001144e+10  2.766588888609384e+00
3.194594100001147e+10  2.736953990681698e+00
3.201554000001149e+10  2.707616866882227e+00
3.208513900001152e+10  2.678574718278042e+00
3.215473800001155e+10  2.649824769269169e+00
3.222433700001157e+10  2.621364267454456e+00
3.229393600001160e+10  2.593190483496865e+00
3.236353500001162e+10  2.565300710988223e+00
3.243313400001165e+10  2.537692266313466e+00
3.250273300001167e+10  2.510362488514407e+00
3.257233200001170e+10  2.483308739153087e+00
3.264193100001173e+10  2.456528402174718e+00
3.271153000001175e+10  2.430018883770281e+00
3.278112900001178e+10  2.403777612238784e+00
3.285072800001181e+10  2.377802037849239e+00
3.292032700001183e+10  2.352089632702374e+00
3.298992600001186e+10  2.326637890592119e+00
3.305952500001188e+10  2.301444326866896e+00
3.312912400001191e+10  2.276506478290746e+00
3.319872300001194e+10  2.251821902904313e+00
3.326832200001196e+10  2.227388179885728e+00
3.333792100001199e+10  2.203202909411407e+00
3.340752000001201e+10  2.179263712516804e+00
3.347711900001204e+10  2.155568230957130e+00
3.354671800001207e+10  2.132114127068085e+00
3.361631700001209e+10  2.108899083626604e+00
3.368591600001212e+10  2.085920803711665e+00
3.375551500001214e+10  2.063177010565159e+00
3.382511400001217e+10  2.040665447452873e+00
3.389471300001220e+10  2.018383877525586e+00
3.396431200001222e+10  1.996330083680310e+00
3.403391100001225e+10  1.974501868421695e+00
3.410351000001227e+10  1.952897053723624e+00
3.417310900001230e+10  1.931513480891009e+00
3.424270800001233e+10  1.910349010421821e+00
3.431230700001235e+10  1.889401521869357e+00
3.438190600001238e+10  1.868668913704778e+00
